Migration between Germany and foreign countries: years,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
European Union states, sex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"European Union states
Sex
Arrivals from foreign countries
Departures to foreign countries";;;Unit;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Austria;Male;Arrivals from foreign countries;number;13728;8754;9695;10070;11897;17099;19796;16766;12084;10331;9476;10201;10030;10323;11175;12139;12384;10834;10843;10560;9561;9405;8799;8310;8800;9658;9465;9038;8193;7593;7695;7622;8159;8776;9197;9671;9964;10171;9918;10004;10387
;;Departures to foreign countries;number;17977;12271;9899;9730;10893;11418;14831;16409;14320;11126;10140;10061;8843;8367;8687;9207;9675;11494;10351;9669;10105;9474;9267;9320;8607;9092;9238;8630;9147;8854;10257;9368;10053;10828;12960;12194;10681;10631;10826;10799;11463
;Female;Arrivals from foreign countries;number;8541;6465;6447;6683;6536;7346;8053;7558;6283;5439;5573;5501;5951;5996;6293;6540;6285;6064;6279;5790;5548;5697;5742;5512;5632;6228;6499;6782;6208;5863;5771;6136;6560;6967;7631;7867;7895;8419;8590;8625;8906
;;Departures to foreign countries;number;8450;7190;6288;5931;5999;5853;6304;6790;6484;5877;5396;5003;4652;4618;4333;4911;5022;5643;5812;5822;5697;5615;5879;5705;5770;6129;5874;6245;6782;7122;8271;8167;8551;9324;11089;10380;9208;9145;9173;9542;9975
;Total;Arrivals from foreign countries;number;22269;15219;16142;16753;18433;24445;27849;24324;18367;15770;15049;15702;15981;16319;17468;18679;18669;16898;17122;16350;15109;15102;14541;13822;14432;15886;15964;15820;14401;13456;13466;13758;14719;15743;16828;17538;17859;18590;18508;18629;19293
;;Departures to foreign countries;number;26427;19461;16187;15661;16892;17271;21135;23199;20804;17003;15536;15064;13495;12985;13020;14118;14697;17137;16163;15491;15802;15089;15146;15025;14377;15221;15112;14875;15929;15976;18528;17535;18604;20152;24049;22574;19889;19776;19999;20341;21438
Belgium;Male;Arrivals from foreign countries;number;2412;2245;2296;2399;2324;2474;2713;2526;2357;2226;2269;2221;2452;2491;2350;2306;2371;2518;2502;2548;2543;2581;2605;2605;2524;2544;2524;2609;2477;2447;2493;2385;2257;2344;2431;2516;2794;2983;3101;3156;3360
;;Departures to foreign countries;number;2800;2490;2413;2198;2163;2118;2005;2209;2124;2069;2039;1948;1953;2013;1828;2127;2360;2373;2420;2399;2705;2650;2765;2686;2599;2600;2262;2295;2424;2417;2628;2317;2390;2435;2685;2654;2436;2345;2292;2627;2941
;Female;Arrivals from foreign countries;number;2105;2022;2057;2103;1967;2037;2303;2291;2132;1996;2035;2138;2105;2167;2054;2010;1961;2003;2087;1990;2026;2100;2261;2137;2063;2131;2059;2094;1962;1844;1856;1882;1858;1854;1997;1988;2140;2236;2467;2669;2739
;;Departures to foreign countries;number;2100;2113;2004;1830;1810;1742;1775;1749;1819;1825;1901;1773;1662;1617;1594;1791;1963;2028;2162;2202;2608;2325;2334;2250;2327;2264;1958;1960;2141;2206;2308;2085;2150;2281;2396;2416;2087;2060;1899;2413;2388
;Total;Arrivals from foreign countries;number;4517;4267;4353;4502;4291;4511;5016;4817;4489;4222;4304;4359;4557;4658;4404;4316;4332;4521;4589;4538;4569;4681;4866;4742;4587;4675;4583;4703;4439;4291;4349;4267;4115;4198;4428;4504;4934;5219;5568;5825;6099
;;Departures to foreign countries;number;4900;4603;4417;4028;3973;3860;3780;3958;3943;3894;3940;3721;3615;3630;3422;3918;4323;4401;4582;4601;5313;4975;5099;4936;4926;4864;4220;4255;4565;4623;4936;4402;4540;4716;5081;5070;4523;4405;4191;5040;5329
Bulgaria;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11359;14480;17786;25091;33709;38486;38351;49061
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5152;9907;12816;15666;20316;23851;27375;31279
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9343;9354;11104;14296;17903;20376;20972;28729
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3230;5957;7124;8119;9106;9890;11219;13212
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20702;23834;28890;39387;51612;58862;59323;77790
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8382;15864;19940;23785;29422;33741;38594;44491
Croatia;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18212;30185
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9544;12972
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6988;14055
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3209;4355
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25200;44240
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12753;17327
Cyprus;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;165;152;212;221;278;372;564;528
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;156;203;190;172;157;156;191;260
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;163;148;178;174;284;368;554;572
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122;153;150;163;158;142;203;237
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;328;300;390;395;562;740;1118;1100
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278;356;340;335;315;298;394;497
Czech Republic;Male;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3556;3751;3702;3821;5324;5878;6644;7582
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3391;4206;3986;3212;3208;3456;4320;5153
;Female;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3899;3521;3523;3369;4404;4823;5009;5375
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3245;3876;3600;2855;2681;2831;3057;3678
;Total;Arrivals from foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7455;7272;7225;7190;9728;10701;11653;12957
;;Departures to foreign countries;number;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6636;8082;7586;6067;5889;6287;7377;8831
Denmark;Male;Arrivals from foreign countries;number;1165;983;859;876;967;1055;1295;1292;986;856;824;1033;1116;1155;1188;1399;1614;1783;2392;2693;2653;2281;1935;1686;1603;1861;1787;1791;1610;1426;1500;1483;1431;1514;1710;1761;1792;1942;1822;2029;1889
;;Departures to foreign countries;number;1077;932;1010;856;890;877;881;990;942;1058;920;972;1342;1101;942;904;1045;1219;1411;1995;2545;2387;2395;2045;1995;1899;1500;1496;1574;1428;1620;1395;1637;2137;2449;2309;1752;1658;1543;1606;1872
;Female;Arrivals from foreign countries;number;1146;967;1009;802;834;916;993;1072;944;984;964;1067;1132;1113;1197;1327;1534;1751;1964;1960;1948;1836;1698;1401;1468;1451;1448;1445;1279;1267;1178;1186;1132;1117;1321;1396;1473;1498;1621;1720;1628
;;Departures to foreign countries;number;891;810;903;772;804;748;778;753;877;930;936;924;1165;954;808;941;1021;1246;1337;1803;1951;2044;1971;1818;1814;1593;1305;1320;1400;1284;1442;1299;1478;1877;2100;1961;1570;1417;1385;1447;1770
;Total;Arrivals from foreign countries;number;2311;1950;1868;1678;1801;1971;2288;2364;1930;1840;1788;2100;2248;2268;2385;2726;3148;3534;4356;4653;4601;4117;3633;3087;3071;3312;3235;3236;2889;2693;2678;2669;2563;2631;3031;3157;3265;3440;3443;3749;3517
;;Departures to foreign countries;number;1968;1742;1913;1628;1694;1625;1659;1743;1819;1988;1856;1896;2507;2055;1750;1845;2066;2465;2748;3798;4496;4431;4366;3863;3809;3492;2805;2816;2974;2712;3062;2694;3115;4014;4549;4270;3322;3075;2928;3053;3642
